,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
Player,Team,Pos,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
Breanna Stewart,NYL,F,35.0,25.1,11.0,3.7,1.6,1.4,1.7,44.5,84.9,2.1,1.9,9.0,4.5,37.2,8.8,19.8,5.9,6.9
Arike Ogunbowale,DAL,G,36.0,24.2,3.9,4.3,1.7,0.2,2.5,36.1,88.6,2.7,0.6,3.2,7.9,31.7,9.1,25.3,3.4,3.8
Kelsey Mitchell,IND,G,35.0,22.7,2.8,3.0,0.8,0.0,2.4,39.9,80.2,2.2,0.4,2.4,6.5,37.2,8.5,21.2,3.4,4.2
Sabrina Ionescu,NYL,G,32.0,21.3,6.3,4.8,1.0,0.3,2.7,39.5,86.7,2.6,1.0,5.4,6.8,40.3,7.8,19.6,3.1,3.5
Natasha Howard,DAL,F,35.0,19.4,9.8,1.9,1.3,1.4,1.2,40.8,89.1,2.7,2.8,7.0,3.9,31.5,7.6,18.7,2.9,3.2
Aliyah Boston,IND,C,36.0,18.6,14.7,2.5,1.1,1.2,0.1,59.6,77.8,2.2,6.1,8.6,0.3,43.4,7.3,12.2,4.0,5.1
Brittney Sykes,WAS,G,31.0,18.4,5.5,4.0,2.1,0.3,1.3,44.2,86.2,2.5,0.8,4.7,3.5,36.7,6.8,15.3,3.6,4.2
Satou Sabally,DAL,F,29.0,17.0,8.9,2.7,1.4,0.3,1.4,40.0,87.0,2.3,2.5,6.4,4.0,36.0,6.1,15.3,3.3,3.8
Natasha Cloud,WAS,G,32.0,15.5,3.9,6.4,1.0,0.3,1.1,36.9,90.3,2.6,0.2,3.8,3.9,29.0,5.3,14.3,3.9,4.3
Tianna Hawkins,WAS,F,32.0,14.5,8.3,2.3,0.9,0.6,0.7,45.2,82.7,1.9,1.8,6.5,2.7,26.3,5.7,12.6,2.4,2.9
Betnijah Laney,NYL,G,31.0,13.9,3.8,2.4,0.9,0.1,1.3,42.9,77.3,1.9,0.5,3.3,3.6,37.4,5.6,13.2,1.3,1.6
Jonquel Jones,NYL,F,27.0,13.4,8.1,1.7,0.7,1.5,0.8,48.4,80.1,2.5,2.6,5.5,2.3,35.5,5.5,11.3,1.6,2.0
Courtney Vandersloot,NYL,G,32.0,12.7,4.3,7.6,1.4,0.7,0.7,37.6,78.1,3.0,0.7,3.5,3.0,23.1,5.0,13.2,2.0,2.6
Crystal Dangerfield,DAL,G,32.0,12.5,4.4,3.3,1.0,0.3,1.2,40.0,81.7,1.3,0.7,3.7,3.7,32.8,5.1,12.8,1.0,1.2
Erica Wheeler,IND,G,29.0,12.4,4.0,4.8,0.8,0.1,0.9,38.5,76.7,1.8,0.6,3.4,2.8,32.9,5.0,12.9,1.5,2.0
Li Meng,WAS,F,19.0,11.6,2.3,1.1,0.5,0.1,1.7,42.3,91.3,0.8,0.6,1.7,4.2,40.5,4.3,10.3,1.2,1.3
Teaira McCowan,DAL,C,30.0,11.4,10.5,1.5,1.0,1.1,0.0,48.8,63.9,1.8,4.6,5.9,0.2,7.7,4.7,9.6,2.1,3.2
Shatori Walker-Kimbrough,WAS,G,29.0,11.3,3.2,2.3,0.9,0.5,1.0,41.2,95.4,0.8,0.4,2.8,2.8,36.7,4.1,9.9,2.1,2.2
Myisha Hines-Allen,WAS,F,22.0,11.2,4.8,1.3,1.1,0.2,1.0,34.6,71.0,1.6,1.2,3.7,2.5,39.4,4.1,11.7,2.1,3.0
Kristy Wallace,IND,G,23.0,10.2,3.8,2.1,0.7,0.3,0.9,39.3,73.3,1.8,1.0,2.7,2.3,36.8,4.0,10.3,1.2,1.7
Victoria Vivians,IND,G,21.0,8.3,5.1,1.8,0.9,0.1,0.9,37.0,77.0,1.3,0.9,4.1,3.0,31.2,3.3,9.0,0.7,1.0
Marine Johannes,NYL,G,16.0,8.0,1.5,1.6,0.6,0.0,1.0,36.5,75.5,1.1,0.3,1.2,3.3,31.7,3.3,9.1,0.3,0.4
Queen Egbo,WAS,C,20.0,7.9,8.5,0.7,0.3,1.4,0.0,45.5,63.1,1.5,2.0,6.5,0.1,17.4,3.0,6.6,1.8,2.9
Grace Berger,IND,G,15.0,5.9,2.3,2.0,0.6,0.2,0.4,41.8,76.1,1.3,0.2,2.0,0.9,40.7,2.2,5.2,1.2,1.6
Maya Caldwell,IND,G,20.0,5.7,1.9,1.5,0.5,0.2,0.5,31.9,82.3,1.4,0.5,1.4,1.9,24.3,2.2,6.9,0.8,1.0
Kayla Thornton,NYL,F,14.0,5.3,3.1,0.5,0.6,0.3,0.5,44.3,74.1,0.4,0.9,2.2,1.4,37.0,2.1,4.7,0.7,1.0
Amanda Zahui B.,IND,C,16.0,5.3,4.2,0.6,0.4,0.7,0.4,24.1,72.4,1.2,0.8,3.4,2.3,15.8,1.8,7.3,1.4,2.0
Nyara Sabally,NYL,F,13.0,5.1,4.0,0.3,0.2,0.5,0.2,42.2,76.4,0.9,1.0,3.0,0.6,27.3,1.7,4.0,1.5,2.0
Odyssey Sims,DAL,G,16.0,4.4,1.8,3.1,0.5,0.0,0.3,33.8,61.4,0.8,0.2,1.6,1.1,27.1,1.6,4.8,0.8,1.4
Linnae Harper,WAS,G,10.0,4.0,1.1,0.4,0.3,0.0,0.3,39.8,84.9,0.3,0.2,0.9,1.3,24.1,1.8,4.4,0.2,0.2
Kalani Brown,DAL,C,10.0,3.7,3.6,0.5,0.2,0.5,0.0,51.6,79.8,0.8,1.4,2.2,0.1,7.7,1.4,2.6,0.9,1.2
Emma Cannon,IND,F,5.0,3.4,2.3,0.2,0.0,0.0,0.2,50.3,72.4,0.4,0.4,1.9,0.5,46.9,1.4,2.8,0.4,0.6
Cyesha Goree,WAS,F,5.0,2.5,1.0,0.5,0.2,0.1,0.3,46.8,80.5,0.3,0.2,0.8,0.7,36.3,0.9,2.0,0.4,0.5
Veronica Burton,DAL,G,7.0,1.6,1.0,1.0,0.3,0.2,0.2,26.8,89.2,0.3,0.3,0.8,0.7,26.4,0.5,1.9,0.4,0.4
Maddy Siegrist,DAL,F,3.0,1.2,0.7,0.1,0.1,0.1,0.0,39.7,88.4,0.1,0.4,0.3,0.2,24.1,0.5,1.2,0.2,0.2
Awak Kuier,DAL,C,2.0,0.4,0.5,0.1,0.1,0.1,0.0,28.3,69.9,0.1,0.1,0.4,0.1,0.7,0.2,0.6,0.1,0.1
Jocelyn Willoughby,NYL,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lou Lopez Senechal,DAL,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victaria Saxton,IND,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Han Xu,NYL,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefanie Dolson,NYL,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diamond DeShields,DAL,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristi Toliver,WAS,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elena Delle Donne,WAS,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ariel Atkins,WAS,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaLyssa Smith,IND,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakira Austin,WAS,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexie Hull,IND,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0